castaway_id,season,total_challenges_competed,total_won,win_percentage
US0371,24,25,12,0.48
US0022,25,22,10,0.45454545454545453
US0196,25,16,6,0.375
US0288,25,4,0,0
US0372,25,1,0,0
US0373,25,2,0,0
US0374,25,3,0,0
US0375,25,5,2,0.4
US0376,25,6,2,0.3333333333333333
US0377,25,8,3,0.375
US0378,25,9,7,0.7777777777777778
US0379,25,11,4,0.36363636363636365
US0380,25,13,7,0.5384615384615384
US0381,25,15,8,0.5333333333333333
US0382,25,18,7,0.3888888888888889
US0383,25,20,9,0.45
US0384,25,22,10,0.45454545454545453
US0385,25,22,8,0.36363636363636365
US0386,25,22,4,0.18181818181818182
US0246,26,21,12,0.5714285714285714
US0259,26,12,6,0.5
US0312,26,21,11,0.5238095238095238
US0322,26,2,1,0.5
US0333,26,19,10,0.5263157894736842
US0337,26,16,7,0.4375
US0346,26,23,8,0.34782608695652173
US0348,26,23,12,0.5217391304347826
US0350,26,8,6,0.75
US0384,26,17,9,0.5294117647058824
US0387,26,3,1,0.3333333333333333
US0388,26,4,1,0.25
US0389,26,5,1,0.2
US0390,26,6,1,0.16666666666666666
US0391,26,9,2,0.2222222222222222
US0392,26,11,2,0.18181818181818182
US0393,26,14,3,0.21428571428571427
US0394,26,18,8,0.4444444444444444
US0395,26,23,6,0.2608695652173913
US0396,26,23,5,0.21739130434782608
US0010,27,16,7,0.4375
US0032,27,17,9,0.5294117647058824
US0107,27,1,0,0
US0182,27,9,6,0.6666666666666666
US0195,27,4,3,0.75
US0274,27,16,8,0.5
US0292,27,16,10,0.625
US0358,27,16,7,0.4375
US0359,27,2,2,1
US0365,27,7,4,0.5714285714285714
US0397,27,8,3,0.375
US0398,27,4,2,0.5
US0399,27,3,0,0
US0400,27,8,4,0.5
US0401,27,6,1,0.16666666666666666
US0402,27,11,3,0.2727272727272727
US0403,27,13,3,0.23076923076923078
US0404,27,14,2,0.14285714285714285
US0405,27,15,3,0.2
US0406,27,15,4,0.26666666666666666
US0407,28,1,0,0
US0408,28,2,0,0
US0409,28,3,1,0.3333333333333333
US0410,28,5,1,0.2
US0411,28,7,6,0.8571428571428571
US0412,28,7,6,0.8571428571428571
US0413,28,9,3,0.3333333333333333
US0414,28,10,4,0.4
US0415,28,12,4,0.3333333333333333
US0416,28,14,8,0.5714285714285714
US0417,28,16,6,0.375
US0418,28,17,9,0.5294117647058824
US0419,28,19,5,0.2631578947368421
US0420,28,21,8,0.38095238095238093
US0421,28,22,8,0.36363636363636365
US0422,28,23,3,0.13043478260869565
US0423,28,23,11,0.4782608695652174
US0424,28,23,10,0.43478260869565216
US0425,29,2,0,0
US0426,29,4,0,0
US0427,29,6,0,0
US0428,29,8,6,0.75
US0429,29,9,6,0.6666666666666666
US0430,29,11,2,0.18181818181818182
US0431,29,12,9,0.75
US0432,29,14,5,0.35714285714285715
US0433,29,16,12,0.75
US0434,29,18,6,0.3333333333333333
US0435,29,20,13,0.65
US0436,29,22,7,0.3181818181818182
US0437,29,24,9,0.375
US0438,29,26,4,0.15384615384615385
US0439,29,27,12,0.4444444444444444
US0440,29,27,8,0.2962962962962963
US0441,29,27,4,0.14814814814814814
US0442,29,27,13,0.48148148148148145
US0443,30,1,0,0
US0444,30,2,1,0.5
US0445,30,3,1,0.3333333333333333
US0446,30,5,2,0.4
US0447,30,7,4,0.5714285714285714
US0448,30,9,6,0.6666666666666666
US0449,30,10,4,0.4
US0450,30,12,5,0.4166666666666667
US0451,30,14,8,0.5714285714285714
US0452,30,15,5,0.3333333333333333
US0453,30,17,7,0.4117647058823529
US0454,30,19,9,0.47368421052631576
US0455,30,21,6,0.2857142857142857
US0456,30,23,6,0.2608695652173913
US0457,30,24,4,0.16666666666666666
US0458,30,24,7,0.2916666666666667
US0459,30,24,11,0.4583333333333333
US0460,30,24,13,0.5416666666666666
US0015,31,15,5,0.3333333333333333
US0021,31,24,6,0.25
US0023,31,6,2,0.3333333333333333
US0105,31,13,6,0.46153846153846156
US0180,31,8,6,0.75
US0233,31,4,1,0.25
US0280,31,19,7,0.3684210526315789
US0295,31,8,4,0.5
US0383,31,23,6,0.2608695652173913
US0402,31,2,1,0.5
US0406,31,17,11,0.6470588235294118
US0419,31,26,8,0.3076923076923077
US0421,31,26,9,0.34615384615384615
US0422,31,11,8,0.7272727272727273
US0423,31,10,5,0.5
US0429,31,26,11,0.4230769230769231
US0433,31,26,6,0.23076923076923078
US0439,31,25,11,0.44
US0451,31,21,15,0.7142857142857143
US0453,31,3,1,0.3333333333333333
US0461,32,1,0,0
US0462,32,2,0,0
US0463,32,3,2,0.6666666666666666
US0464,32,4,4,1
US0465,32,5,1,0.2
US0466,32,6,5,0.8333333333333334
US0467,32,8,5,0.625
US0468,32,9,6,0.6666666666666666
US0469,32,11,9,0.8181818181818182
US0470,32,13,7,0.5384615384615384
US0471,32,15,4,0.26666666666666666
US0472,32,17,10,0.5882352941176471
US0473,32,19,6,0.3157894736842105
US0474,32,20,6,0.3
US0475,32,23,5,0.21739130434782608
US0476,32,23,11,0.4782608695652174
US0477,32,23,6,0.2608695652173913
US0478,32,23,13,0.5652173913043478
US0479,33,1,0,0
US0480,33,2,1,0.5
US0481,33,3,1,0.3333333333333333
US0482,33,5,2,0.4
US0483,33,6,2,0.3333333333333333
US0484,33,8,4,0.5
US0485,33,10,7,0.7
US0486,33,11,7,0.6363636363636364
US0487,33,13,6,0.46153846153846156
US0488,33,15,7,0.4666666666666667
US0489,33,17,4,0.23529411764705882
US0490,33,19,9,0.47368421052631576
US0491,33,20,8,0.4
US0492,33,21,9,0.42857142857142855
US0493,33,22,10,0.45454545454545453
US0494,33,23,9,0.391304347826087
US0495,33,24,10,0.4166666666666667
US0496,33,24,8,0.3333333333333333
US0497,33,24,9,0.375
US0498,33,24,7,0.2916666666666667
US0023,34,11,4,0.36363636363636365
US0112,34,9,3,0.3333333333333333
US0179,34,23,7,0.30434782608695654
US0201,34,14,9,0.6428571428571429
US0281,34,8,6,0.75
US0333,34,21,14,0.6666666666666666
US0364,34,25,6,0.24
US0384,34,6,2,0.3333333333333333
US0401,34,25,15,0.6
US0406,34,2,0,0
US0414,34,25,9,0.36
US0424,34,3,0,0
US0450,34,12,4,0.3333333333333333
US0456,34,20,8,0.4
US0464,34,4,0,0
US0470,34,16,10,0.625
US0476,34,25,10,0.4
US0477,34,24,7,0.2916666666666667
US0485,34,22,3,0.13636363636363635
US0490,34,18,9,0.5
US0499,35,2,1,0.5
US0500,35,3,1,0.3333333333333333
US0501,35,4,1,0.25
US0502,35,6,2,0.3333333333333333
US0503,35,8,5,0.625
US0504,35,10,3,0.3
US0505,35,11,10,0.9090909090909091
US0506,35,13,8,0.6153846153846154
US0507,35,15,13,0.8666666666666667
US0508,35,17,6,0.35294117647058826
US0509,35,19,10,0.5263157894736842
US0510,35,21,9,0.42857142857142855
US0511,35,23,8,0.34782608695652173
US0512,35,24,11,0.4583333333333333
US0513,35,25,7,0.28
US0514,35,25,5,0.2
US0515,35,25,12,0.48
US0516,35,25,9,0.36
US0517,36,2,1,0.5
US0518,36,3,1,0.3333333333333333
US0519,36,4,2,0.5
US0520,36,6,2,0.3333333333333333
US0521,36,8,2,0.25
US0522,36,9,5,0.5555555555555556
US0523,36,11,5,0.45454545454545453
US0524,36,12,9,0.75
US0525,36,14,8,0.5714285714285714
US0526,36,16,4,0.25
US0527,36,17,6,0.35294117647058826
US0528,36,17,4,0.23529411764705882
US0529,36,19,9,0.47368421052631576
US0530,36,21,6,0.2857142857142857
US0531,36,22,8,0.36363636363636365
US0532,36,23,8,0.34782608695652173
US0533,36,24,9,0.375
US0534,36,24,11,0.4583333333333333
US0535,36,24,12,0.5
US0536,36,24,13,0.5416666666666666
US0537,37,2,1,0.5
US0538,37,3,1,0.3333333333333333
US0539,37,4,2,0.5
US0540,37,5,2,0.4
US0541,37,5,2,0.4
US0542,37,7,3,0.42857142857142855
US0543,37,9,4,0.4444444444444444
US0544,37,10,5,0.5
US0545,37,12,7,0.5833333333333334
US0546,37,14,8,0.5714285714285714
US0547,37,16,9,0.5625
US0548,37,18,6,0.3333333333333333
US0549,37,20,8,0.4
US0550,37,22,8,0.36363636363636365
US0551,37,23,9,0.391304347826087
US0552,37,24,9,0.375
US0553,37,25,8,0.32
US0554,37,25,5,0.2
US0555,37,25,8,0.32
US0556,37,25,9,0.36
US0429,38,17,3,0.17647058823529413
US0451,38,11,8,0.7272727272727273
US0477,38,9,5,0.5555555555555556
US0495,38,15,2,0.13333333333333333
US0557,38,3,1,0.3333333333333333
US0558,38,3,0,0
US0559,38,9,3,0.3333333333333333
US0560,38,22,8,0.36363636363636365
US0561,38,10,4,0.4
US0562,38,13,7,0.5384615384615384
US0563,38,14,9,0.6428571428571429
US0564,38,19,5,0.2631578947368421
US0565,38,21,9,0.42857142857142855
US0566,38,23,11,0.4782608695652174
US0567,38,23,7,0.30434782608695654
US0568,38,24,4,0.16666666666666666
US0569,38,25,12,0.48
US0570,38,25,10,0.4
US0571,39,1,0,0
US0572,39,2,1,0.5
US0573,39,3,1,0.3333333333333333
US0574,39,4,1,0.25
US0575,39,6,1,0.16666666666666666
US0576,39,8,6,0.75
US0577,39,10,4,0.4
US0578,39,13,4,0.3076923076923077
US0579,39,13,4,0.3076923076923077
US0580,39,14,8,0.5714285714285714
US0581,39,14,8,0.5714285714285714
US0582,39,15,8,0.5333333333333333
US0583,39,17,3,0.17647058823529413
US0584,39,19,8,0.42105263157894735
US0585,39,19,10,0.5263157894736842
US0586,39,20,4,0.2
US0587,39,21,10,0.47619047619047616
US0588,39,21,8,0.38095238095238093
US0589,39,21,5,0.23809523809523808
US0590,39,20,11,0.55
US0027,40,4,1,0.25
US0048,40,6,1,0.16666666666666666
US0055,40,8,2,0.25
US0112,40,7,4,0.5714285714285714
US0166,40,5,1,0.2
US0197,40,9,3,0.3333333333333333
US0202,40,11,5,0.45454545454545453
US0274,40,11,4,0.36363636363636365
US0353,40,16,8,0.5
US0371,40,17,8,0.47058823529411764
US0386,40,19,6,0.3157894736842105
US0414,40,21,7,0.3333333333333333
US0424,40,21,9,0.42857142857142855
US0433,40,18,5,0.2777777777777778
US0442,40,6,2,0.3333333333333333
US0478,40,21,7,0.3333333333333333
US0498,40,13,5,0.38461538461538464
US0516,40,20,7,0.35
US0536,40,11,5,0.45454545454545453
US0556,40,19,8,0.42105263157894735
US0591,41,2,0,0
US0592,41,2,1,0.5
US0593,41,19,5,0.2631578947368421
US0594,41,19,9,0.47368421052631576
US0595,41,7,3,0.42857142857142855
US0596,41,18,9,0.5
US0597,41,19,7,0.3684210526315789
US0598,41,12,8,0.6666666666666666
US0599,41,17,9,0.5294117647058824
US0600,41,12,6,0.5
US0601,41,19,9,0.47368421052631576
US0602,41,4,2,0.5
US0603,41,6,3,0.5
US0604,41,11,4,0.36363636363636365
US0605,41,9,6,0.6666666666666666
US0606,41,14,3,0.21428571428571427
US0607,41,3,0,0
US0608,41,15,5,0.3333333333333333
US0609,42,11,4,0.36363636363636365
US0610,42,7,3,0.42857142857142855
US0611,42,15,5,0.3333333333333333
US0612,42,14,5,0.35714285714285715
US0613,42,1,0,0
US0614,42,4,2,0.5
US0615,42,19,9,0.47368421052631576
US0616,42,18,9,0.5
US0617,42,9,4,0.4444444444444444
US0618,42,3,1,0.3333333333333333
US0619,42,19,7,0.3684210526315789
US0620,42,19,5,0.2631578947368421
US0621,42,17,6,0.35294117647058826
US0622,42,12,5,0.4166666666666667
US0623,42,19,5,0.2631578947368421
US0624,42,6,3,0.5
US0625,42,12,9,0.75
US0626,42,2,1,0.5
US0627,43,18,7,0.3888888888888889
US0628,43,16,7,0.4375
US0629,43,9,6,0.6666666666666666
US0630,43,8,4,0.5
US0631,43,7,3,0.42857142857142855
US0632,43,11,3,0.2727272727272727
US0633,43,10,5,0.5
US0634,43,18,8,0.4444444444444444
US0635,43,3,2,0.6666666666666666
US0636,43,17,7,0.4117647058823529
US0637,43,6,3,0.5
US0638,43,18,7,0.3888888888888889
US0639,43,2,0,0
US0640,43,4,2,0.5
US0641,43,13,7,0.5384615384615384
US0642,43,18,7,0.3888888888888889
US0643,43,11,5,0.45454545454545453
US0644,43,14,4,0.2857142857142857
US0645,44,10,7,0.7
US0646,44,16,6,0.375
US0647,44,11,6,0.5454545454545454
US0648,44,17,8,0.47058823529411764
US0649,44,2,0,0
US0650,44,7,5,0.7142857142857143
US0651,44,4,3,0.75
US0652,44,14,7,0.5
US0653,44,13,10,0.7692307692307693
US0654,44,18,8,0.4444444444444444
US0655,44,8,4,0.5
US0656,44,9,7,0.7777777777777778
US0657,44,1,0,0
US0658,44,18,4,0.2222222222222222
US0659,44,18,9,0.5
US0660,44,3,1,0.3333333333333333
US0661,44,6,2,0.3333333333333333
US0662,44,18,4,0.2222222222222222
US0657,45,13,8,0.6153846153846154
US0663,45,18,11,0.6111111111111112
US0664,45,7,4,0.5714285714285714
US0665,45,3,0,0
US0666,45,18,9,0.5
US0667,45,16,8,0.5
US0668,45,14,3,0.21428571428571427
US0669,45,2,0,0
US0670,45,8,6,0.75
US0671,45,18,6,0.3333333333333333
US0672,45,17,9,0.5294117647058824
US0673,45,9,4,0.4444444444444444
US0674,45,18,7,0.3888888888888889
US0675,45,10,6,0.6
US0676,45,11,6,0.5454545454545454
US0677,45,5,1,0.2
US0678,45,6,1,0.16666666666666666
US0679,45,9,7,0.7777777777777778
US0680,46,18,6,0.3333333333333333
US0681,46,6,1,0.16666666666666666
US0682,46,18,8,0.4444444444444444
US0683,46,2,0,0
US0684,46,11,9,0.8181818181818182
US0685,46,7,4,0.5714285714285714
US0686,46,3,0,0
US0687,46,18,5,0.2777777777777778
US0688,46,18,8,0.4444444444444444
US0689,46,17,7,0.4117647058823529
US0690,46,8,4,0.5
US0691,46,16,4,0.25
US0692,46,4,4,1
US0693,46,9,8,0.8888888888888888
US0694,46,10,9,0.9
US0695,46,13,3,0.23076923076923078
US0696,46,9,5,0.5555555555555556
US0697,46,14,8,0.5714285714285714
